,title,artist,year,bpm,en,dnce,loud,live,val,dur,acous,speech,pop
1982,Get Ready,Rare Earth,1969,127,87,41,-6,83,65,1292,0,4,45
1983,Black Magic Woman - 2018 Remaster,Fleetwood Mac,1969,129,41,46,-11,28,44,173,5,4,48
1984,Suite: Judy Blue Eyes - Remastered,"Crosby, Stills & Nash",1969,154,36,45,-13,20,30,444,47,4,67
1985,Blue Suede Shoes,Elvis Presley,1956,95,66,56,-8,14,96,119,65,6,62
1986,Jailhouse Rock,Elvis Presley,1958,167,58,65,-10,7,92,146,41,8,73
1987,My Baby Just Cares for Me - 2013 Remastered Version,Nina Simone,1958,119,24,75,-15,9,43,216,83,12,68
1988,Summertime,Louis Armstrong,1958,168,7,17,-21,14,10,298,92,3,66
1989,Heartbreak Hotel,Elvis Presley,1958,94,21,70,-12,11,72,128,84,7,63
1990,Hound Dog,Elvis Presley,1958,175,76,36,-8,76,95,136,73,6,69
1991,Johnny B. Goode,Chuck Berry,1959,168,80,53,-9,31,97,162,74,7,74
1992,Take Five,The Dave Brubeck Quartet,1959,174,26,45,-13,7,60,324,54,4,65
1993,Blueberry Hill,Fats Domino,1959,133,50,49,-10,16,83,148,74,3,56
